term,url,priority,current_term_present,other_term_present,notes
sipping hot liquid,https://freesound.org/people/Kinoton/sounds/462270/,1,Yes,Yes,Others: swallowing
slurping,https://freesound.org/people/launchsite/sounds/556780/,2,Yes,No,Straw sound 
slurping,https://freesound.org/people/ASMR_Tingles/sounds/530350/,3,Yes,Yes,Others: swallowing
slurping,https://freesound.org/people/charliemidi/sounds/68145/,4,Yes,Yes,"Others: swallowing, footsteps, murmuring "
slurping,https://freesound.org/people/redcheek/sounds/251984/,5,Yes,Yes,"Others: exhaling, taping mug on table"
slurping,https://freesound.org/people/bfederi1/sounds/382029/,6,Yes,Yes,Others: plastic tapping 
slurping,https://freesound.org/people/ssssrt/sounds/546155/,7,,,
slurping,https://freesound.org/people/abstraktgeneriert/sounds/194466/,8,,,
slurping,https://freesound.org/people/fille1000/sounds/67230/,9,,,
slurping,https://freesound.org/people/brytonentertainment/sounds/369174/,10,,,
slurping,https://freesound.org/people/scotthopkins/sounds/351728/,11,,,
slurping,https://freesound.org/people/BrendanSound12/sounds/445165/,12,,,
slurping,https://freesound.org/people/Tetoszka/sounds/622776/,13,,,
slurping,https://freesound.org/people/Feibel1/sounds/548634/,14,,,
slurping,https://freesound.org/people/brunchik/sounds/433962/,15,,,
slurping,https://freesound.org/people/180007/sounds/445523/,16,,,
slurping,https://freesound.org/people/Nakhas/sounds/569259/,17,,,
slurping,https://freesound.org/people/nutellav/sounds/209544/,18,,,
slurping,https://freesound.org/people/awkain/sounds/367159/,19,,,
slurping,https://freesound.org/people/bbrocer/sounds/382656/,20,,,
slurping,https://freesound.org/people/jvdicke/sounds/455011/,21,,,
slurping,https://freesound.org/people/AmberdeMeillon/sounds/443058/,22,,,
slurping,https://freesound.org/people/jtol/sounds/414084/,23,,,
slurping,https://freesound.org/people/MuzakPlz/sounds/622430/,24,,,
slurping,https://freesound.org/people/seenms/sounds/422263/,25,,,
slurping,https://freesound.org/people/JulioUrbano/sounds/429515/,26,,,
slurping,https://freesound.org/people/Chelly01/sounds/541091/,27,,,
slurping,https://freesound.org/people/europa143/sounds/548147/,28,,,
slurping,https://freesound.org/people/digital.arts.MA/sounds/626219/,29,,,
slurping,https://freesound.org/people/The_Underdog/sounds/628811/,30,,,
slurping,https://freesound.org/people/Alex-Fullam/sounds/552700/,31,,,
slurping,https://freesound.org/people/GoldenTricycle/sounds/521392/,32,,,
slurping,https://freesound.org/people/davidjvitale/sounds/627018/,33,,,
slurping,https://freesound.org/people/KrypticKnight/sounds/523704/,34,,,
lip smacks,https://freesound.org/people/fightfightingman1/sounds/437489/,35,,,
lip smacks,https://freesound.org/people/fthgurdy/sounds/528195/,36,Yes,Yes,Others: slurping
lip smacks,https://freesound.org/people/bmt79/sounds/547234/,37,Yes,No,Gum chewing
lip smacks,https://freesound.org/people/Closetwalrus/sounds/370297/,38,Yes,No,Gum chewing
lip smacks,https://freesound.org/people/benniknop/sounds/317848/,39,Unsure,Yes,Others: lips popping noise
lip smacks,https://freesound.org/people/yaboiiiiiiiii/sounds/433926/,40,Yes,No,Quick smacking 
lip smacks,https://freesound.org/people/justinstroud/sounds/180150/,41,Yes,No,Eating peanut butter
lip smacks,https://freesound.org/people/bmusic92/sounds/232930/,42,,,
lip smacks,https://freesound.org/people/14GPanskaMuzatko_Matej/sounds/419780/,43,,,
lip smacks,https://freesound.org/people/blwuens/sounds/515149/,44,,,
lip smacks,https://freesound.org/people/dreamstobecome/sounds/529295/,45,,,
lip smacks,https://freesound.org/people/foxboyprower/sounds/512576/,46,,,
clicking a pen,https://freesound.org/people/deleted_user_7146007/sounds/383436/,47,,,
chewing gum,https://freesound.org/people/ryanharding95/sounds/272420/,48,Yes,Yes,Others: Slight exhaling
chewing gum,https://freesound.org/people/4barrelcarb/sounds/273469/,49,Yes,No,Punctuated chewing
chewing gum,https://freesound.org/people/forevermari/sounds/395087/,50,Yes,Yes,"Others: Lip smacking, mouth popping"
chewing gum,https://freesound.org/people/thegoose09/sounds/125375/,51,Yes,Yes,"Very faint. 
Others: distant talking. "
chewing gum,https://freesound.org/people/Jonnyhoff91/sounds/187258/,52,Yes,No,Faint noise level
chewing gum,https://freesound.org/people/Truss88/sounds/613719/,53,,,
chewing gum,https://freesound.org/people/mr101986/sounds/94719/,54,,,
chewing gum,https://freesound.org/people/julia.perry.19/sounds/486846/,55,,,
chewing gum,https://freesound.org/people/IanLyanx/sounds/446758/,56,,,
chewing gum,https://freesound.org/people/PauloSilva1/sounds/428934/,57,,,
chewing gum,https://freesound.org/people/druki/sounds/390516/,58,,,
chewing gum,https://freesound.org/people/vsipereck/sounds/392154/,59,,,
chewing gum,https://freesound.org/people/deleted_user_958643/sounds/444380/,60,,,
chewing gum,https://freesound.org/people/hannahj40/sounds/271483/,61,,,
chewing gum,https://freesound.org/people/jontahontas/sounds/91980/,62,,,
chewing gum,https://freesound.org/people/rothgarblue/sounds/504736/,63,,,
clipping nails,https://freesound.org/people/taya_yelton/sounds/462308/,64,Yes,Yes,"Others: Female voice at start saying “Clipping nails part two,” background cars honking. Low quality. "
clipping nails,https://freesound.org/people/Rehanjo/sounds/593600/,65,Yes,No,
clipping nails,https://freesound.org/people/EugeneEverett/sounds/596481/,66,Yes,No,
clipping nails,https://freesound.org/people/buzzatsea/sounds/431218/,67,Yes,No,
clipping nails,https://freesound.org/people/lighteningjimmy88/sounds/495858/,68,Yes,Yes,Others: male saying “nail clipping take two.” Harsh clipping sounds
clipping nails,https://freesound.org/people/martian/sounds/201635/,69,No,,
male sniffles,https://freesound.org/people/ThunderQuads/sounds/467203/,70,,,
flipping newspaper pages,https://freesound.org/people/finneganmilla/sounds/557540/,71,Yes,No,
flipping newspaper pages,https://freesound.org/people/miekyj/sounds/326468/,72,Unsure,No,Paper sounds stiff (not like newspaper). Lower pitch 
flipping newspaper pages,https://freesound.org/people/x._.Sircartier/sounds/636467/,73,Yes,No,
flipping newspaper pages,https://freesound.org/people/SpaceJoe/sounds/484956/,74,Yes,No,
flipping newspaper pages,https://freesound.org/people/simone_ds/sounds/366079/,75,No,Yes,Others: book pages quickly flipped
flipping newspaper pages,https://freesound.org/people/Gammelsmurfen778/sounds/473981/,76,Yes,Yes,"Others: footsteps (brief), exhale (also brief)"
flipping newspaper pages,https://freesound.org/people/ArnyDnD/sounds/232516/,77,Yes,No,Slight background white noise (public place?) 
flipping newspaper pages,https://freesound.org/people/alonlubenfeld/sounds/275304/,78,Yes,No,Paper sounds stiff (not like newspaper). Lower pitch 
typing,https://freesound.org/people/TinyRay/sounds/624499/,79,Yes,Yes,"Others: faint birds in background. Typing is slow, pressing individual keys. Included as 6th sound for variety’s sake"
typing,https://freesound.org/people/zrrion_the_insect/sounds/469013/,80,Yes,No,
typing,https://freesound.org/people/grcekh/sounds/546032/,81,Yes,No,
typing,https://freesound.org/people/Posontic/sounds/446021/,82,Yes,No,
typing,https://freesound.org/people/Anaponce/sounds/535211/,83,Yes,No,
typing,https://freesound.org/people/Alivvie/sounds/323432/,84,Yes,No,
typing,https://freesound.org/people/Alphium/sounds/470937/,85,,,
typing,https://freesound.org/people/Rodzuz/sounds/393902/,86,,,
typing,https://freesound.org/people/Nifargov/sounds/361479/,87,,,
typing,https://freesound.org/people/DSPena/sounds/167155/,88,,,
typing,https://freesound.org/people/TigerDuchess/sounds/492855/,89,,,
typing,https://freesound.org/people/deleted_user_4772965/sounds/256458/,90,,,
typing,https://freesound.org/people/wboycher/sounds/420678/,91,,,
